Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OperatorSkillScore,RequiredSkillByRole,Name,Email,Phone Number,Skills
39,Yes,Rarely,1402,Farm Operations,4,4,Dairy Science,1,250,3,Female,101,4,4,Dairy Quality Analyst,4,Divorced,28573,18652,6,No,12,4,1,2,37,4,1,3,16,10,10,0.733356443,0.55,Dev Gandhi,dev.gandhi814@example.com,917000000000.0,
54,Yes,Rarely,1433,Farm Operations,42,4,Mechanical Engineering,1,251,3,Male,53,4,1,Milk Processing Operator,3,Single,35582,14925,4,No,13,2,1,2,3,1,1,27,12,13,6,0.334443831,0.45,Amit Pillai,amit.pillai15@example.com,920000000000.0,
44,Yes,Non-Travel,699,Farm Operations,45,3,Food Technology,1,252,2,Male,83,3,4,Logistics & Supply Chain Coordinator,3,Married,25378,16810,3,No,10,4,2,0,8,1,4,29,8,10,3,0.420551423,0.35,Meera Iyer,meera.iyer544@example.com,919000000000.0,
54,Yes,Rarely,663,Production,10,1,Mechanical Engineering,1,253,3,Female,118,2,2,Cheese Production Technician,4,Divorced,85296,18239,0,No,11,2,3,1,34,1,3,26,12,1,0,0.266619663,0.5,Arjun Malhotra,arjun.malhotra461@example.com,918000000000.0,
44,No,Frequently,1347,Maintenance,31,2,Mechanical Engineering,1,254,1,Male,82,3,3,Dairy Quality Analyst,4,Single,33500,7475,5,Yes,22,2,4,0,27,0,3,21,14,13,0,0.300435489,0.55,Priya Nair,priya.nair628@example.com,917000000000.0,
48,No,Rarely,312,Quality Control,41,2,Biotechnology,1,255,4,Male,118,1,3,Maintenance Engineer,2,Single,85841,6185,9,No,18,4,1,0,36,3,1,15,12,5,16,0.818228443,0.6,Arjun Joshi,arjun.joshi121@example.com,917000000000.0,
37,No,Frequently,1235,Production,8,2,Dairy Science,1,256,3,Male,87,2,1,Dairy Quality Analyst,1,Single,41881,7161,5,No,24,4,1,1,8,0,2,21,16,2,9,0.276378851,0.55,Amit Joshi,amit.joshi529@example.com,919000000000.0,
37,No,Rarely,1349,Logistics,3,1,Logistics,1,257,3,Female,147,4,4,Dairy Quality Analyst,4,Married,90233,11580,6,Yes,21,4,2,1,1,0,1,22,7,7,4,0.267011845,0.55,Ankit Bose,ankit.bose309@example.com,919000000000.0,
21,Yes,Rarely,530,Maintenance,48,3,Logistics,1,258,4,Female,75,2,1,Maintenance Engineer,2,Divorced,71542,11886,0,Yes,19,2,4,2,2,0,3,4,8,4,6,0.858264118,0.6,Pooja Pillai,pooja.pillai894@example.com,918000000000.0,
54,No,Non-Travel,339,Maintenance,46,2,Biotechnology,1,259,2,Female,50,2,2,Logistics & Supply Chain Coordinator,3,Divorced,85285,13465,3,Yes,19,3,4,1,4,3,1,8,8,2,7,0.652132422,0.35,Sahil Kapoor,sahil.kapoor771@example.com,919000000000.0,
35,No,Frequently,1101,Logistics,9,1,Logistics,1,260,3,Female,53,1,4,Farm Liaison Officer,3,Divorced,79547,13221,8,Yes,11,2,1,2,9,2,3,1,7,11,1,0.270641188,0.3,Karan Pillai,karan.pillai336@example.com,918000000000.0,
55,No,Rarely,1320,Logistics,30,4,Mechanical Engineering,1,261,2,Female,88,2,1,Milk Processing Operator,3,Single,82151,4335,9,No,21,3,2,2,27,4,4,1,15,9,8,0.880201717,0.45,Rohit Joshi,rohit.joshi406@example.com,918000000000.0,
52,Yes,Rarely,716,Logistics,11,2,Biotechnology,1,262,2,Female,103,2,3,Dairy Quality Analyst,3,Divorced,27222,5674,5,No,15,4,3,0,14,2,1,3,19,6,3,0.302970007,0.55,Sahil Bose,sahil.bose802@example.com,916000000000.0,
23,No,Non-Travel,768,Quality Control,35,2,Food Technology,1,263,3,Female,139,2,3,Dairy Quality Analyst,2,Single,27933,6576,1,No,23,2,4,0,13,2,1,19,6,13,11,0.736442008,0.55,Karan Iyer,karan.iyer12@example.com,919000000000.0,
52,No,Frequently,1045,Farm Operations,37,3,Dairy Science,1,264,1,Male,82,4,1,Maintenance Engineer,1,Married,103385,16972,3,No,16,4,3,0,22,0,4,19,16,7,10,0.224395953,0.6,Rohit Patel,rohit.patel217@example.com,918000000000.0,
33,No,Frequently,1292,Maintenance,42,2,Dairy Science,1,265,2,Female,82,2,1,Dairy Lab Technician,2,Divorced,109772,2500,5,No,15,3,2,1,12,2,4,16,6,3,4,0.637179258,0.55,Karan Malhotra,karan.malhotra995@example.com,918000000000.0,
40,No,Frequently,317,Farm Operations,13,2,Dairy Science,1,266,3,Female,121,3,1,Dairy Quality Analyst,1,Single,118706,10083,3,No,17,3,3,1,15,0,2,19,5,12,11,0.58269271,0.55,Dev Joshi,dev.joshi83@example.com,920000000000.0,
39,No,Rarely,1087,Farm Operations,36,4,Mechanical Engineering,1,267,2,Male,69,2,2,Dairy Quality Analyst,3,Divorced,98437,10294,9,No,18,2,2,2,29,0,4,27,4,12,3,0.345602667,0.55,Sneha Malhotra,sneha.malhotra893@example.com,917000000000.0,
27,No,Rarely,1282,Logistics,13,1,Food Technology,1,268,4,Male,65,1,2,Maintenance Engineer,4,Divorced,26940,17720,6,No,17,2,1,2,39,4,2,20,16,10,12,0.6502023,0.6,Rohit Kapoor,rohit.kapoor975@example.com,916000000000.0,
26,No,Frequently,1256,Quality Control,12,1,Biotechnology,1,269,1,Male,70,2,3,Dairy Lab Technician,4,Married,104590,7543,2,No,14,2,3,2,7,1,4,24,7,8,0,0.631937095,0.55,Nisha Trivedi,nisha.trivedi65@example.com,918000000000.0,
22,Yes,Rarely,249,Production,37,3,Biotechnology,1,270,1,Female,94,2,2,Maintenance Engineer,4,Divorced,79145,5276,5,No,17,2,1,1,16,0,3,18,0,5,17,0.758846201,0.6,Karan Kapoor,karan.kapoor845@example.com,918000000000.0,
36,Yes,Rarely,218,Quality Control,10,4,Dairy Science,1,271,4,Male,139,4,2,Dairy Quality Analyst,1,Married,63610,8613,3,No,19,1,1,2,29,2,1,2,15,13,3,0.813111841,0.55,Priya Trivedi,priya.trivedi997@example.com,919000000000.0,
52,No,Non-Travel,925,Farm Operations,9,1,Food Technology,1,272,4,Female,136,3,4,Cold Storage Supervisor,3,Divorced,77520,13729,2,Yes,24,1,2,2,16,4,4,29,16,0,3,0.557073458,0.4,Meera Gandhi,meera.gandhi877@example.com,920000000000.0,
31,Yes,Frequently,396,Quality Control,7,4,Food Technology,1,273,2,Female,131,2,2,Milk Processing Operator,2,Divorced,24544,3327,2,No,24,4,3,1,34,5,3,4,2,4,7,0.543206635,0.45,Meera Nair,meera.nair415@example.com,918000000000.0,
41,No,Frequently,758,Logistics,2,1,Food Technology,1,274,4,Female,111,3,4,Dairy Lab Technician,4,Divorced,110854,9772,1,No,19,3,4,0,0,5,4,9,12,4,19,0.63511704,0.55,Arjun Kapoor,arjun.kapoor447@example.com,917000000000.0,
41,No,Frequently,651,Production,23,4,Logistics,1,275,1,Male,80,1,2,Cold Storage Supervisor,1,Divorced,74812,12666,2,Yes,18,3,3,1,23,5,1,5,7,6,5,0.710445312,0.4,Karan Joshi,karan.joshi783@example.com,917000000000.0,
49,No,Frequently,488,Logistics,39,3,Logistics,1,276,4,Male,91,4,3,Maintenance Engineer,4,Divorced,91610,18289,9,No,23,4,4,2,24,2,4,2,15,6,3,0.449319821,0.6,Karan Bose,karan.bose392@example.com,918000000000.0,
57,No,Rarely,1364,Production,40,2,Dairy Science,1,277,3,Female,61,3,1,Dairy Quality Analyst,2,Divorced,71500,7769,0,No,17,4,1,0,1,1,4,16,6,5,3,0.553249318,0.55,Vivek Reddy,vivek.reddy596@example.com,919000000000.0,
57,No,Rarely,1307,Farm Operations,39,3,Food Technology,1,278,3,Female,114,4,3,Maintenance Engineer,3,Married,59618,15663,2,Yes,11,4,1,1,24,3,1,9,14,14,10,0.60957293,0.6,Sahil Trivedi,sahil.trivedi162@example.com,920000000000.0,
27,No,Rarely,590,Production,21,1,Food Technology,1,279,2,Female,122,2,2,Farm Liaison Officer,2,Married,119054,7918,8,No,11,1,2,0,13,1,4,23,1,14,8,0.891864659,0.3,Rohit Gandhi,rohit.gandhi360@example.com,916000000000.0,
46,No,Rarely,414,Production,23,3,Biotechnology,1,280,1,Male,52,1,1,Farm Liaison Officer,3,Single,45444,19473,3,Yes,21,4,4,0,38,4,1,11,1,7,13,0.611398538,0.3,Pooja Joshi,pooja.joshi395@example.com,918000000000.0,
46,No,Frequently,414,Production,29,2,Biotechnology,1,281,3,Female,139,4,1,Dairy Quality Analyst,3,Divorced,105982,6555,2,No,12,3,3,2,32,1,2,0,9,1,3,0.356930586,0.55,Sneha Iyer,sneha.iyer635@example.com,919000000000.0,
53,No,Rarely,327,Quality Control,14,3,Dairy Science,1,282,4,Male,58,2,1,Dairy Quality Analyst,3,Married,114079,4394,7,Yes,16,4,2,1,16,5,4,17,4,13,12,0.611592901,0.55,Priya Iyer,priya.iyer796@example.com,918000000000.0,
40,No,Rarely,959,Quality Control,26,1,Food Technology,1,283,3,Female,100,3,4,Cold Storage Supervisor,4,Divorced,76586,2666,0,No,18,2,2,2,30,1,3,18,3,12,5,0.773649708,0.4,Sahil Kapoor,sahil.kapoor413@example.com,919000000000.0,
49,Yes,Rarely,603,Farm Operations,5,1,Dairy Science,1,284,3,Male,65,1,3,Packaging Machine Operator,2,Divorced,44789,14355,4,Yes,17,3,2,1,9,4,4,21,14,12,12,0.800182576,0.4,Rohit Trivedi,rohit.trivedi615@example.com,916000000000.0,
52,No,Rarely,1252,Production,31,3,Biotechnology,1,285,2,Female,137,1,4,Dairy Quality Analyst,4,Married,21617,4234,0,Yes,18,3,3,1,5,4,1,19,12,6,2,0.760175318,0.55,Arjun Trivedi,arjun.trivedi244@example.com,919000000000.0,
47,No,Rarely,537,Maintenance,25,2,Biotechnology,1,286,4,Male,127,3,1,Dairy Lab Technician,2,Divorced,23333,8335,6,Yes,15,3,2,1,38,5,1,3,16,9,6,0.821746591,0.55,Ankit Nair,ankit.nair200@example.com,916000000000.0,
52,No,Rarely,1030,Farm Operations,31,3,Logistics,1,287,4,Male,52,3,3,Dairy Lab Technician,1,Married,60002,19620,4,No,10,1,3,0,24,2,3,14,0,14,0,0.434336439,0.55,Vivek Rana,vivek.rana765@example.com,918000000000.0,
24,No,Rarely,913,Production,20,2,Dairy Science,1,288,4,Male,147,1,3,Maintenance Engineer,1,Married,83620,19758,1,No,23,1,2,0,37,0,3,8,17,6,10,0.555299435,0.6,Ankit Joshi,ankit.joshi693@example.com,918000000000.0,
38,Yes,Rarely,560,Production,44,4,Dairy Science,1,289,2,Male,146,4,2,Cold Storage Supervisor,2,Single,107688,13503,0,No,21,3,4,2,36,3,1,5,14,3,1,0.745713767,0.4,Nisha Rana,nisha.rana524@example.com,916000000000.0,
23,Yes,Rarely,768,Quality Control,17,2,Food Technology,1,290,4,Male,73,1,4,Logistics & Supply Chain Coordinator,2,Single,109627,8359,6,No,13,2,1,1,29,3,2,11,13,11,4,0.385114966,0.35,Vivek Iyer,vivek.iyer699@example.com,916000000000.0,
54,No,Frequently,417,Farm Operations,45,4,Food Technology,1,291,4,Male,122,3,4,Cheese Production Technician,2,Single,20511,18560,0,No,22,3,4,1,33,5,2,17,8,9,13,0.460107006,0.5,Vivek Patel,vivek.patel329@example.com,918000000000.0,
36,Yes,Rarely,401,Production,2,3,Logistics,1,292,3,Female,62,4,2,Maintenance Engineer,2,Single,57850,15876,2,Yes,15,1,4,0,17,3,1,22,11,1,12,0.781808958,0.6,Priya Malhotra,priya.malhotra620@example.com,918000000000.0,
47,No,Rarely,216,Production,25,2,Mechanical Engineering,1,293,3,Female,51,2,4,Dairy Quality Analyst,3,Divorced,102172,4928,5,No,24,2,2,1,23,1,2,14,4,3,15,0.739059955,0.55,Kavya Pillai,kavya.pillai466@example.com,919000000000.0,
49,No,Frequently,521,Farm Operations,13,4,Mechanical Engineering,1,294,4,Female,120,1,1,Maintenance Engineer,4,Divorced,106053,9617,5,Yes,21,3,4,2,26,4,3,28,1,3,14,0.879839698,0.6,Priya Nair,priya.nair712@example.com,919000000000.0,
48,No,Rarely,717,Maintenance,39,4,Mechanical Engineering,1,295,1,Female,70,3,1,Logistics & Supply Chain Coordinator,3,Single,51786,9614,6,No,15,1,4,1,26,4,2,18,6,11,2,0.897181841,0.35,Arjun Desai,arjun.desai462@example.com,919000000000.0,
25,No,Non-Travel,880,Farm Operations,28,4,Dairy Science,1,296,1,Male,68,2,4,Cheese Production Technician,4,Married,94356,6274,0,No,24,2,4,1,38,5,3,8,8,11,5,0.368521183,0.5,Vivek Kapoor,vivek.kapoor267@example.com,919000000000.0,
54,No,Frequently,1305,Farm Operations,42,1,Dairy Science,1,297,4,Female,138,1,2,Logistics & Supply Chain Coordinator,4,Married,56244,6971,6,No,17,4,2,0,20,4,4,21,17,5,8,0.83031499,0.35,Nisha Desai,nisha.desai89@example.com,917000000000.0,
56,No,Rarely,624,Maintenance,6,3,Biotechnology,1,298,1,Male,96,1,3,Logistics & Supply Chain Coordinator,4,Married,94714,10389,1,Yes,24,4,3,1,18,0,3,23,3,13,2,0.266160851,0.35,Amit Patel,amit.patel35@example.com,919000000000.0,
43,No,Frequently,1427,Farm Operations,3,4,Dairy Science,1,299,2,Male,71,4,4,Farm Liaison Officer,3,Married,87261,19352,5,No,10,3,1,2,38,4,4,12,1,6,12,0.696860146,0.3,Pooja Pillai,pooja.pillai186@example.com,919000000000.0,
48,No,Rarely,1218,Production,35,2,Dairy Science,1,300,3,Male,124,3,3,Dairy Lab Technician,2,Divorced,38477,4504,7,Yes,22,4,1,2,22,4,3,15,0,2,12,0.354069571,0.55,Priya Mehta,priya.mehta691@example.com,920000000000.0,
50,No,Frequently,586,Farm Operations,18,4,Dairy Science,1,301,2,Female,82,2,2,Packaging Machine Operator,3,Married,66533,8006,4,Yes,20,1,3,2,38,1,3,12,11,14,6,0.41021781,0.4,Kavya Sharma,kavya.sharma530@example.com,919000000000.0,
54,No,Rarely,977,Maintenance,11,1,Logistics,1,302,3,Male,81,1,3,Dairy Quality Analyst,3,Married,54469,9943,9,Yes,11,2,3,2,14,2,2,0,12,9,4,0.862424824,0.55,Nisha Nair,nisha.nair643@example.com,917000000000.0,
52,No,Non-Travel,297,Logistics,20,3,Dairy Science,1,303,1,Female,113,4,2,Cold Storage Supervisor,4,Single,28496,19653,2,No,11,3,4,0,1,3,3,17,13,0,7,0.384205866,0.4,Vivek Gandhi,vivek.gandhi928@example.com,918000000000.0,
40,No,Rarely,407,Farm Operations,5,1,Food Technology,1,304,1,Female,134,2,2,Maintenance Engineer,1,Married,32270,19748,7,No,22,2,1,1,34,1,1,21,4,2,7,0.671224508,0.6,Sneha Mehta,sneha.mehta171@example.com,918000000000.0,
51,No,Frequently,785,Quality Control,19,1,Food Technology,1,305,4,Female,88,2,1,Dairy Quality Analyst,1,Divorced,96008,2923,7,No,15,2,3,0,19,1,4,2,2,8,6,0.324689956,0.55,Kavya Malhotra,kavya.malhotra899@example.com,919000000000.0,
42,No,Frequently,365,Production,22,1,Biotechnology,1,306,1,Female,133,1,1,Farm Liaison Officer,3,Married,40724,18854,3,Yes,23,2,4,2,27,1,4,16,3,0,18,0.265372984,0.3,Meera Kapoor,meera.kapoor880@example.com,919000000000.0,
52,No,Rarely,221,Production,19,2,Logistics,1,307,1,Female,121,2,2,Dairy Lab Technician,4,Married,50416,12246,7,No,23,1,1,1,14,3,3,21,16,12,6,0.437521918,0.55,Riya Desai,riya.desai407@example.com,920000000000.0,
22,No,Rarely,353,Quality Control,47,3,Food Technology,1,308,4,Male,91,1,4,Maintenance Engineer,3,Divorced,55575,14475,4,No,20,3,2,0,15,5,1,4,18,7,3,0.636937271,0.6,Dev Iyer,dev.iyer98@example.com,916000000000.0,
37,Yes,Frequently,418,Quality Control,16,3,Logistics,1,309,4,Male,58,4,1,Cold Storage Supervisor,3,Single,101190,19532,4,Yes,16,4,2,1,32,1,3,28,10,1,9,0.373561601,0.4,Kavya Iyer,kavya.iyer689@example.com,917000000000.0,
44,No,Non-Travel,868,Farm Operations,24,2,Logistics,1,310,3,Female,74,4,2,Packaging Machine Operator,2,Divorced,96614,5086,2,Yes,11,2,1,2,11,2,3,24,7,5,12,0.410118159,0.4,Priya Trivedi,priya.trivedi473@example.com,920000000000.0,
50,No,Rarely,429,Quality Control,41,3,Biotechnology,1,311,1,Male,138,2,3,Dairy Quality Analyst,4,Single,113566,16860,6,No,14,2,1,2,38,5,2,5,11,2,3,0.696110873,0.55,Kavya Joshi,kavya.joshi660@example.com,920000000000.0,
22,No,Frequently,219,Logistics,4,1,Logistics,1,312,3,Female,146,1,3,Dairy Lab Technician,1,Married,93108,19013,8,No,15,2,2,1,38,4,3,20,17,6,18,0.271957216,0.55,Dev Trivedi,dev.trivedi455@example.com,920000000000.0,
59,No,Non-Travel,752,Maintenance,15,3,Dairy Science,1,313,3,Male,51,3,4,Milk Processing Operator,1,Single,37408,9407,8,No,13,1,2,1,19,2,3,16,17,1,9,0.512833564,0.45,Amit Mehta,amit.mehta110@example.com,920000000000.0,
43,No,Non-Travel,1149,Quality Control,25,2,Logistics,1,314,2,Male,68,4,3,Dairy Quality Analyst,1,Single,39359,2774,0,No,10,4,1,2,28,5,2,16,8,3,6,0.859214171,0.55,Dev Kapoor,dev.kapoor338@example.com,920000000000.0,
51,No,Rarely,347,Quality Control,44,1,Biotechnology,1,315,1,Male,69,1,3,Logistics & Supply Chain Coordinator,3,Single,28698,10709,0,Yes,12,2,4,0,2,4,2,26,4,9,4,0.477880164,0.35,Priya Trivedi,priya.trivedi29@example.com,918000000000.0,
41,Yes,Frequently,1331,Logistics,35,2,Biotechnology,1,316,1,Male,142,1,2,Logistics & Supply Chain Coordinator,4,Married,90392,18311,9,Yes,23,1,3,2,4,4,1,0,16,8,2,0.50394072,0.35,Dev Mehta,dev.mehta757@example.com,917000000000.0,
42,No,Rarely,602,Production,14,4,Biotechnology,1,317,2,Male,119,1,3,Cheese Production Technician,2,Single,113063,3343,4,No,19,1,3,1,1,1,2,6,12,5,1,0.716743013,0.5,Nisha Kapoor,nisha.kapoor803@example.com,918000000000.0,
21,Yes,Non-Travel,795,Production,49,1,Food Technology,1,318,3,Male,66,2,3,Dairy Lab Technician,1,Single,59492,12161,0,No,18,2,1,0,22,1,4,21,5,3,10,0.745308065,0.55,Arjun Rana,arjun.rana900@example.com,917000000000.0,
46,No,Rarely,566,Farm Operations,19,1,Dairy Science,1,319,1,Male,138,3,3,Logistics & Supply Chain Coordinator,4,Married,94781,13419,3,No,22,2,3,2,25,3,4,29,13,1,9,0.738724473,0.35,Karan Nair,karan.nair562@example.com,916000000000.0,
21,No,Rarely,1001,Logistics,38,3,Food Technology,1,320,3,Male,117,2,3,Packaging Machine Operator,1,Divorced,63634,9797,0,No,15,1,2,1,25,0,1,15,14,9,12,0.898506917,0.4,Sahil Desai,sahil.desai200@example.com,919000000000.0,
45,No,Frequently,1117,Maintenance,36,1,Mechanical Engineering,1,321,2,Male,143,4,2,Packaging Machine Operator,2,Divorced,62864,2934,1,No,11,1,2,1,6,2,3,4,13,13,6,0.250015761,0.4,Priya Sharma,priya.sharma558@example.com,917000000000.0,
36,No,Rarely,1357,Maintenance,7,2,Dairy Science,1,322,4,Male,133,2,3,Logistics & Supply Chain Coordinator,4,Divorced,114482,3986,1,Yes,18,2,3,1,9,3,1,15,3,8,9,0.887577299,0.35,Arjun Patel,arjun.patel136@example.com,919000000000.0,
59,No,Non-Travel,272,Logistics,30,3,Logistics,1,323,3,Male,52,1,4,Dairy Lab Technician,3,Married,57355,16016,3,No,13,1,1,0,4,3,2,3,17,14,3,0.865132732,0.55,Sahil Pillai,sahil.pillai703@example.com,916000000000.0,
52,Yes,Non-Travel,680,Maintenance,19,4,Biotechnology,1,324,1,Male,136,2,1,Farm Liaison Officer,3,Married,57690,7465,7,No,20,1,2,0,11,2,3,10,0,3,19,0.79649723,0.3,Vivek Kapoor,vivek.kapoor955@example.com,919000000000.0,
28,No,Frequently,759,Production,49,2,Mechanical Engineering,1,325,4,Male,100,1,4,Cold Storage Supervisor,1,Divorced,57814,11966,1,Yes,22,2,4,0,31,5,1,13,11,8,15,0.517887903,0.4,Sneha Patel,sneha.patel269@example.com,918000000000.0,
58,Yes,Rarely,944,Maintenance,25,4,Dairy Science,1,326,3,Female,131,3,1,Cold Storage Supervisor,1,Single,51645,17721,8,No,17,2,4,0,30,2,1,28,8,13,19,0.80963166,0.4,Rohit Malhotra,rohit.malhotra374@example.com,918000000000.0,
48,No,Frequently,299,Maintenance,16,4,Food Technology,1,327,3,Male,75,2,4,Dairy Lab Technician,4,Divorced,104814,3505,8,Yes,19,3,2,1,21,4,4,12,9,1,5,0.354582689,0.55,Sahil Trivedi,sahil.trivedi935@example.com,917000000000.0,
45,No,Rarely,1282,Logistics,47,4,Biotechnology,1,328,4,Male,105,2,1,Milk Processing Operator,2,Married,92739,7363,1,Yes,16,4,2,1,16,0,1,26,17,6,8,0.754159085,0.45,Arjun Kapoor,arjun.kapoor503@example.com,917000000000.0,
54,Yes,Rarely,707,Logistics,40,1,Food Technology,1,329,4,Male,149,2,1,Cold Storage Supervisor,1,Single,76630,17940,0,No,21,2,3,0,19,5,3,23,16,10,12,0.329666812,0.4,Amit Malhotra,amit.malhotra153@example.com,919000000000.0,
44,No,Non-Travel,457,Maintenance,8,2,Dairy Science,1,330,4,Male,113,1,1,Maintenance Engineer,4,Single,68171,12846,9,No,20,2,1,0,19,1,1,26,18,10,6,0.770753402,0.6,Meera Trivedi,meera.trivedi423@example.com,920000000000.0,
43,No,Rarely,612,Quality Control,18,2,Dairy Science,1,331,1,Male,57,1,1,Cold Storage Supervisor,2,Married,41658,3010,9,Yes,12,2,3,1,7,0,1,7,3,4,17,0.630170393,0.4,Vivek Trivedi,vivek.trivedi170@example.com,918000000000.0,
32,Yes,Rarely,1288,Logistics,28,1,Mechanical Engineering,1,332,1,Male,130,2,2,Maintenance Engineer,1,Single,35797,16924,8,No,24,4,1,2,33,0,2,20,15,7,13,0.268621896,0.6,Priya Nair,priya.nair382@example.com,917000000000.0,
26,No,Non-Travel,794,Farm Operations,16,3,Logistics,1,333,3,Female,144,2,4,Logistics & Supply Chain Coordinator,1,Divorced,78799,15482,1,No,17,3,4,2,22,1,1,19,6,10,4,0.826723689,0.35,Pooja Reddy,pooja.reddy423@example.com,918000000000.0,
55,No,Rarely,1377,Farm Operations,19,4,Food Technology,1,334,3,Female,86,3,1,Farm Liaison Officer,4,Married,118342,11369,7,No,13,1,4,1,37,0,3,14,8,13,12,0.604570037,0.3,Kavya Mehta,kavya.mehta788@example.com,916000000000.0,
39,No,Rarely,465,Production,42,2,Mechanical Engineering,1,335,2,Female,146,3,4,Farm Liaison Officer,1,Married,116494,5857,2,No,11,4,1,0,27,5,4,17,7,7,7,0.659373795,0.3,Sahil Sharma,sahil.sharma745@example.com,917000000000.0,
20,No,Non-Travel,1020,Maintenance,17,1,Biotechnology,1,336,1,Male,76,4,3,Cold Storage Supervisor,3,Married,72236,11864,0,Yes,20,2,3,0,12,5,4,6,6,13,14,0.398457025,0.4,Karan Iyer,karan.iyer376@example.com,919000000000.0,
27,No,Rarely,1302,Quality Control,45,4,Logistics,1,337,3,Male,94,3,1,Cold Storage Supervisor,2,Married,26265,12120,0,Yes,14,2,2,1,28,5,4,20,9,13,18,0.810144853,0.4,Sneha Patel,sneha.patel706@example.com,918000000000.0,
35,No,Frequently,861,Production,13,3,Mechanical Engineering,1,338,4,Male,53,3,4,Dairy Lab Technician,2,Single,92134,13370,9,Yes,10,3,1,2,7,3,4,18,7,3,8,0.581640515,0.55,Arjun Patel,arjun.patel891@example.com,918000000000.0,
33,No,Non-Travel,1146,Maintenance,7,3,Food Technology,1,339,4,Female,135,3,2,Cold Storage Supervisor,3,Married,102678,4553,1,Yes,22,3,3,1,10,3,2,24,16,12,5,0.494784199,0.4,Dev Desai,dev.desai225@example.com,919000000000.0,
31,No,Non-Travel,759,Logistics,27,4,Dairy Science,1,340,1,Male,139,1,4,Cheese Production Technician,4,Married,73494,17489,6,Yes,17,3,4,1,17,5,3,8,11,3,13,0.573997222,0.5,Rohit Gandhi,rohit.gandhi854@example.com,918000000000.0,
42,No,Frequently,1116,Farm Operations,10,3,Biotechnology,1,341,4,Male,145,3,1,Cheese Production Technician,3,Single,72268,6389,5,Yes,23,1,2,1,24,1,2,10,13,14,9,0.692319157,0.5,Karan Reddy,karan.reddy954@example.com,917000000000.0,
34,No,Rarely,1090,Quality Control,34,2,Food Technology,1,342,2,Female,137,3,3,Milk Processing Operator,3,Married,46998,18935,1,No,17,4,4,0,21,1,4,26,11,7,8,0.686533513,0.45,Dev Iyer,dev.iyer326@example.com,917000000000.0,
47,No,Rarely,1471,Farm Operations,36,2,Logistics,1,343,3,Female,148,2,4,Logistics & Supply Chain Coordinator,2,Single,111426,13089,3,No,12,4,1,0,34,2,2,9,1,2,16,0.450303971,0.35,Dev Reddy,dev.reddy237@example.com,916000000000.0,
53,No,Non-Travel,1067,Logistics,25,2,Logistics,1,344,3,Male,86,1,3,Maintenance Engineer,4,Single,114414,11231,1,No,10,3,4,0,28,2,1,13,11,6,12,0.469680796,0.6,Vivek Gandhi,vivek.gandhi632@example.com,917000000000.0,
21,No,Non-Travel,809,Maintenance,6,3,Dairy Science,1,345,3,Male,145,4,2,Farm Liaison Officer,1,Married,81339,5051,0,Yes,13,1,4,2,20,5,3,15,13,7,16,0.593566735,0.3,Rohit Gandhi,rohit.gandhi521@example.com,920000000000.0,
51,No,Frequently,613,Logistics,24,2,Dairy Science,1,346,1,Male,120,4,4,Logistics & Supply Chain Coordinator,3,Divorced,34306,7322,2,No,18,4,1,1,6,0,1,26,6,7,18,0.847084985,0.35,Riya Mehta,riya.mehta814@example.com,918000000000.0,
42,No,Rarely,224,Logistics,18,1,Biotechnology,1,347,4,Male,82,3,4,Maintenance Engineer,3,Married,84006,13789,3,Yes,18,2,2,1,11,0,2,7,12,10,12,0.721801187,0.6,Karan Iyer,karan.iyer657@example.com,918000000000.0,
41,No,Rarely,483,Farm Operations,23,2,Biotechnology,1,348,2,Female,80,4,2,Maintenance Engineer,4,Divorced,67345,4555,9,No,24,2,1,2,35,1,1,0,3,9,8,0.47329049,0.6,Amit Gandhi,amit.gandhi42@example.com,919000000000.0,
44,Yes,Rarely,1080,Quality Control,6,2,Dairy Science,1,349,1,Male,104,4,2,Dairy Quality Analyst,3,Single,31885,19473,4,Yes,10,2,3,0,23,0,2,11,0,3,0,0.435922839,0.55,Sahil Joshi,sahil.joshi920@example.com,920000000000.0,
41,No,Frequently,500,Logistics,29,3,Dairy Science,1,350,3,Male,61,4,2,Cold Storage Supervisor,4,Divorced,63826,14767,4,No,20,4,1,1,31,4,2,2,16,8,0,0.566545672,0.4,Nisha Mehta,nisha.mehta156@example.com,918000000000.0,
41,No,Rarely,1291,Farm Operations,25,2,Logistics,1,351,2,Female,60,3,1,Milk Processing Operator,1,Married,75597,2458,6,No,24,3,1,2,26,3,3,1,2,14,4,0.808993958,0.45,Dev Reddy,dev.reddy480@example.com,917000000000.0,
